B1710308,业务运营域,第三代BOSS系统二期工程,郭璇,43100.0,0.9,"针对采集C51版本不兼容华为网元windows操作系统的问题进行定位   
在线灰度发布设备已经加电，正在进行环境部署","针对采集C51版本不兼容华为网元windows操作系统的问题完成版本优化
完成在线灰度发布设备的环境部署"
B171030W,业务运营域,第三代业支二期CRM扩容改造工程,王鹤雄,43190.0,0.28,"IE浏览器升级改造：已完成第一批菜单测试工作，第二批已完成50%菜单的测试
第三代CRM版本交付：开发过程中方案疑问点全部确认完成；版本开发中",1、第三代CRM版本预计12月底到达现场。IE浏览器升级，适配现网的程序改造将于12月20日左右到达现场。
B1710309,业务运营域,省级CRM系统2017年改造工程,梁兴辉,43100.0,0.99,掌上CRM IOS版本已正式上线,针对掌上CRM IOS版本进行转维培训
B171030B,业务运营域,2017年运营平台系统改造工程,张丽亚,43100.0,0.98,铁通支撑系统融合配合业务部门进行穿越测试,业务部门与铁通谈判收入分成后，割接上线
B171030C,业务运营域,门户网站七期,梁兴辉,43100.0,1.0,门户七期工程专题已全部上线。,针对最后一个专题进行转维。
B171030A,业务运营域,SIMS九期工程,王鹤雄,43100.0,0.98,IRMS侧已完成对MISC以及BOSS侧的网络改造，等待BOSS侧确认改造结果；，MISC侧网络改造也已完成，等待行业网关端口号码申请完成后，在进行MISC侧与行业网关的网络调测。,等待BOSS侧确认网络改造结果。等待行业网关端口号码申请结果，申请下来后完成MISC侧与行业网关网络联调。
B171030T,业务运营域,终端B2B管理系统一期,梁兴辉,43100.0,0.6,1、B2B与BOSS接口进行中，已完成80%；2、B2B与4A系统进行中，已完成80%；3、BOMC短信接入接口进行中，已完成80%；4、业务定制开发进行中，已完成80%。5、服务器软件部署实施，已完成80%,"1、完成接口开发，并开始联调测试。
2、完成标准功能开发，并开始测试"
B171030U,业务运营域,和生活APP一期工程,梁兴辉,43100.0,0.7,"11月30日完成了数据库安装、F5策略配置、初期网络配置策略的配置，完成了所有前后台应用的部署。   
每日更新内测包，并根据内测的反馈意见进行了优化和修正。共发现634个BUG，已解决627个，解决率98.9%   
启动了支付、卡号、宽带、订单中心的开发工作。   
启动了宅急送接口、智能短信SDK的联调工作；解决了搜索无结果、路线规划等问题，协调位置基地技术人员到现场解决地图SDK出现的问题。","根据应用的变更随时调整系统部署。
继续以每天一个版本的速度进行迭代和更新，发现问题后解决问题。
继续支付网关接口联调；启动卡号、宽带的接口开发；支付中心、卡号专区、宽带专区完成高保真设计并启动前后台程序开发。
和位置基地技术人员一起对“附近”频道持续优化。"
B171020K,业务管理域,私有云管理平台二期工程,张月杰,43251.0,0.25,4台EPC物理机节点和10台EC虚拟机节点操作系统安装配置，尚有BCCLM资源未到位。yum源搭建，NTP搭建，ssh互信，libvirt配置等，准备完成。EC软件安装完成。EC软件内部联调完成。EC ironic软件安装完成。EC ironic内部联调进展70%。EPC软件安装进展50%。原BOSS vcenter集群对接进展70%。对原有开发区局址在用物理设备进行纳管，进行了网络配置沟通，等待网络策略打通。网管统一视图实现与集团对接,"完成EPC软件安装
完成一阶段虚拟化对接
开始进行一阶段裸金属纳管
开始vcenter数据纳管
完成统一视图联调，增加部分物理机上报
开始CLM软件部署"
B1710310,业务管理域,运营管理系统2017年扩容改造工程,张月杰,43190.0,0.6,"容量预测模型、算法方案确认，根据预算模型与算法开发完成50%，容量朝阈值提醒开发完成30%   
整体功能开发完成，boss、crm交易日志确认，读取权限申请中，探测、资源、运维、性能数据采集验证完成40%   
能力开放平台功能测试完成90%，巡检、运维原子服务测试完毕，监控原子服务测试完毕，资源原子服务完成50%，巡检、运维原子服务部署完成，监控原子服务部署完成100%，资源原子服务部署未开始，安全设计文档已完成，安全扫描报告已完成，技术架构文档未开始；   
配置文件集中管理、服务启停、部署更新完成，自动巡检、自动迁移、资源调配开发完成30%，故障隔离开发完成40%   
网络五元素镜像采集开发完成，数据解析开发完成30%   ","容量预测与提醒开发
boss、crm交易日志采集验证，其他数据采集关联验证
资源原子服务验证，文档撰写
自动巡检、自动迁移、资源调配、故障隔离开发
数据解析开发"
